iter	Passed	Remaining
0	135	135419
1	136	68207
2	137	45761
3	138	34506
4	139	27753
5	140	23267
6	141	20033
7	141	17595
8	142	15707
9	143	14210
10	144	12992
11	145	11965
12	146	11101
13	146	10342
14	147	9698
15	148	9153
16	149	8647
17	150	8198
18	150	7792
19	151	7421
20	152	7089
21	152	6787
22	153	6509
23	153	6257
24	154	6024
25	155	5810
26	155	5610
27	156	5429
28	157	5257
29	157	5097
30	158	4948
31	158	4808
32	159	4678
33	160	4559
34	161	4442
35	161	4331
36	162	4228
37	163	4131
38	163	4038
39	164	3947
40	165	3861
41	165	3781
42	166	3703
43	167	3628
44	167	3557
45	168	3489
46	168	3423
47	169	3362
48	170	3302
49	170	3244
50	171	3189
51	172	3136
52	172	3084
53	173	3034
54	173	2987
55	174	2941
56	175	2899
57	175	2856
58	176	2816
59	177	2775
60	177	2736
61	178	2698
62	179	2662
63	179	2626
64	180	2592
65	180	2558
66	181	2526
67	181	2491
68	182	2460
69	182	2431
70	183	2402
71	184	2373
72	184	2346
73	185	2320
74	186	2294
75	186	2268
76	187	2244
77	187	2220
78	188	2196
79	189	2174
80	189	2151
81	190	2131
82	191	2110
83	191	2090
84	192	2067
85	192	2048
86	193	2027
87	193	2008
88	194	1989
89	195	1971
90	195	1954
91	196	1937
92	196	1920
93	197	1903
94	198	1887
95	198	1871
96	199	1855
97	199	1840
98	200	1825
99	201	1810
100	201	1796
101	202	1779
102	202	1765
103	203	1751
104	203	1738
105	204	1725
106	205	1712
107	205	1699
108	206	1686
109	206	1674
110	207	1662
111	208	1650
112	208	1639
113	209	1627
114	210	1616
115	210	1605
116	211	1594
117	211	1583
118	212	1571
119	212	1561
120	213	1550
121	214	1540
122	214	1528
123	214	1518
124	215	1508
125	216	1499
126	216	1490
127	217	1479
128	217	1470
129	218	1461
130	218	1452
131	219	1444
132	220	1436
133	221	1428
134	221	1420
135	222	1411
136	222	1403
137	223	1395
138	223	1387
139	224	1379
140	225	1371
141	225	1364
142	226	1356
143	226	1349
144	227	1342
145	228	1334
146	228	1327
147	229	1320
148	229	1313
149	230	1306
150	231	1299
151	231	1292
152	232	1286
153	232	1279
154	233	1274
155	234	1268
156	235	1262
157	235	1256
158	236	1250
159	236	1243
160	237	1237
161	238	1231
162	238	1225
163	239	1220
164	239	1214
165	240	1208
166	241	1202
167	241	1197
168	242	1191
169	242	1186
170	243	1180
171	244	1175
172	244	1169
173	245	1164
174	245	1159
175	246	1154
176	247	1150
177	248	1145
178	248	1141
179	249	1136
180	249	1129
181	250	1125
182	250	1120
183	251	1115
184	252	1110
185	252	1106
186	253	1101
187	254	1097
188	254	1092
189	255	1088
190	255	1083
191	256	1079
192	257	1074
193	257	1070
194	258	1066
195	258	1062
196	259	1057
197	260	1053
198	260	1049
199	261	1045
200	261	1041
201	262	1037
202	263	1033
203	263	1029
204	264	1025
205	265	1021
206	265	1017
207	266	1013
208	266	1010
209	267	1006
210	268	1002
211	268	999
212	269	995
213	270	992
214	270	988
215	271	984
216	271	981
217	272	977
218	273	973
219	273	970
220	274	966
221	274	963
222	275	959
223	276	956
224	276	953
225	277	949
226	277	946
227	278	943
228	279	940
229	279	937
230	280	933
231	281	930
232	281	927
233	282	924
234	283	921
235	283	918
236	284	915
237	284	912
238	285	909
239	286	906
240	286	902
241	287	900
242	287	897
243	288	894
244	289	891
245	289	888
246	290	885
247	291	882
248	291	879
249	292	876
250	292	874
251	293	871
252	294	868
253	294	865
254	295	862
255	295	859
256	296	857
257	297	854
258	297	851
259	298	848
260	298	846
261	299	843
262	300	841
263	300	838
264	301	836
265	302	833
266	302	830
267	303	828
268	303	825
269	304	823
270	305	820
271	305	818
272	306	815
273	306	813
274	307	810
275	308	808
276	308	805
277	309	803
278	309	801
279	310	798
280	311	796
281	311	793
282	312	791
283	312	788
284	313	786
285	314	784
286	314	781
287	315	779
288	315	777
289	316	775
290	317	772
291	317	770
292	318	768
293	319	767
294	320	765
295	321	763
296	321	761
297	322	759
298	323	757
299	323	755
300	324	753
301	324	750
302	325	748
303	326	746
304	326	744
305	327	742
306	328	740
307	328	738
308	329	736
309	329	734
310	330	732
311	331	730
312	331	728
313	332	726
314	333	724
315	334	723
316	334	721
317	335	719
318	336	717
319	337	716
320	337	714
321	338	713
322	339	710
323	339	709
324	340	707
325	341	705
326	341	703
327	342	701
328	342	699
329	343	697
330	344	695
331	344	693
332	345	691
333	346	690
334	346	688
335	347	686
336	347	684
337	348	682
338	349	681
339	349	679
340	350	677
341	351	675
342	351	673
343	352	672
344	353	670
345	353	668
346	354	666
347	354	664
348	355	663
349	356	661
350	356	659
351	357	657
352	358	656
353	358	654
354	359	652
355	359	650
356	360	649
357	361	647
358	361	645
359	362	644
360	362	642
361	363	640
362	364	638
363	364	637
364	365	635
365	365	633
366	366	632
367	367	630
368	367	628
369	368	627
370	368	625
371	369	623
372	370	622
373	370	620
374	371	619
375	372	617
376	372	615
377	373	614
378	373	612
379	374	611
380	375	609
381	376	608
382	376	607
383	377	605
384	378	604
385	378	602
386	379	601
387	380	599
388	381	598
389	381	596
390	382	595
391	382	594
392	383	592
393	384	591
394	385	589
395	385	588
396	386	586
397	387	585
398	387	583
399	388	582
400	388	580
401	389	579
402	390	577
403	390	576
404	391	574
405	392	573
406	392	572
407	393	570
408	393	569
409	394	567
410	395	566
411	395	564
412	396	563
413	396	561
414	397	560
415	398	558
416	398	557
417	399	555
418	399	554
419	400	553
420	401	551
421	401	550
422	402	548
423	403	547
424	403	546
425	404	544
426	405	543
427	405	542
428	406	540
429	406	539
430	407	537
431	407	536
432	408	535
433	409	533
434	409	532
435	410	531
436	411	529
437	411	528
438	412	526
439	412	525
440	413	524
441	414	522
442	414	521
443	415	520
444	416	518
445	416	517
446	417	516
447	417	514
448	418	513
449	419	512
450	420	511
451	420	510
452	421	509
453	422	508
454	423	507
455	424	505
456	424	504
457	425	503
458	426	502
459	426	501
460	427	500
461	428	498
462	429	497
463	429	496
464	430	495
465	431	494
466	432	493
467	433	492
468	433	491
469	434	490
470	435	488
471	436	487
472	436	486
473	437	485
474	438	484
475	439	483
476	439	482
477	440	481
478	441	479
479	441	478
480	442	477
481	443	476
482	444	475
483	444	474
484	445	473
485	446	472
486	447	471
487	448	470
488	449	469
489	450	468
490	451	467
491	451	466
492	452	465
493	453	464
